apple,play,apple_rating,play_rating,apple_price,play_price
PewDiePie's Tuber Simulator,PewDiePie's Tuber Simulator,5,4.8,0,0
ASOS,ASOS,5,4.7,0,0
Domino's Pizza USA,Domino's Pizza USA,5,4.7,0,0
"Egg, Inc.","Egg, Inc.",5,4.7,0,0
The Guardian,The Guardian,5,4.7,0,0
Cytus,Cytus,5,4.7,1.99,0
The EO Bar,The EO Bar,5,4.7,6.99,$6.99 
Geometry Dash Lite,Geometry Dash Lite,5,4.5,0,0
H*nest Meditation,H*nest Meditation,4.5,4.9,1.99,$1.99 
Fernanfloo,Fernanfloo,4.5,4.8,0,0
Bible,Bible,4.5,4.7,0,0
Narcos: Cartel Wars,Narcos: Cartel Wars,4.5,4.7,0,0
Solitaire,Solitaire,4.5,4.7,0,0
Toy Blast,Toy Blast,4.5,4.7,0,0
Zombie Catchers,Zombie Catchers,4.5,4.7,0,0
Where's My Water?,Where's My Water?,4.5,4.7,1.99,$1.99 
Five Nights at Freddy's 3,Five Nights at Freddy's 3,4.5,4.7,2.99,$2.99 
Riptide GP: Renegade,Riptide GP: Renegade,4.5,4.7,2.99,$2.99 
Tsuro - The Game of the Path,Tsuro - The Game of the Path,4.5,4.7,2.99,$2.99 
Toca Life: City,Toca Life: City,4.5,4.7,2.99,$3.99 
Retro City Rampage DX,Retro City Rampage DX,4.5,4.7,4.99,$2.99 
Angry Birds Blast,Angry Birds Blast,4.5,4.6,0,0
Animal Jam - Play Wild!,Animal Jam - Play Wild!,4.5,4.6,0,0
Chase Mobile,Chase Mobile,4.5,4.6,0,0
Choices: Stories You Play,Choices: Stories You Play,4.5,4.6,0,0
Clash of Clans,Clash of Clans,4.5,4.6,0,0
Clash Royale,Clash Royale,4.5,4.6,0,0
Fallout Shelter,Fallout Shelter,4.5,4.6,0,0
FINAL FANTASY BRAVE EXVIUS,FINAL FANTASY BRAVE EXVIUS,4.5,4.6,0,0
Fishdom,Fishdom,4.5,4.6,0,0
Fuel Rewards® program,Fuel Rewards® program,4.5,4.6,0,0
Geometry Dash Meltdown,Geometry Dash Meltdown,4.5,4.6,0,0
Geometry Dash World,Geometry Dash World,4.5,4.6,0,0
Hill Climb Racing 2,Hill Climb Racing 2,4.5,4.6,0,0
MARVEL Future Fight,MARVEL Future Fight,4.5,4.6,0,0
Pinterest,Pinterest,4.5,4.6,0,0
Score! Hero,Score! Hero,4.5,4.6,0,0
Shadow Fight 2,Shadow Fight 2,4.5,4.6,0,0
Township,Township,4.5,4.6,0,0
War Robots,War Robots,4.5,4.6,0,0
Hitman Sniper,Hitman Sniper,4.5,4.6,0.99,$0.99 
My Talking Pet,My Talking Pet,4.5,4.6,1.99,$4.99 
Earn to Die 2,Earn to Die 2,4.5,4.6,1.99,0
Bloons TD 5,Bloons TD 5,4.5,4.6,2.99,$2.99 
Five Nights at Freddy's,Five Nights at Freddy's,4.5,4.6,2.99,$2.99 
Five Nights at Freddy's 2,Five Nights at Freddy's 2,4.5,4.6,2.99,$2.99 
Hitman GO,Hitman GO,4.5,4.6,4.99,$0.99 
Battleheart Legacy,Battleheart Legacy,4.5,4.6,4.99,$4.99 
Alto's Adventure,Alto's Adventure,4.5,4.6,4.99,0
My Movies Pro - Movie & TV Collection Library,My Movies Pro - Movie & TV Collection Library,4.5,4.6,7.99,$7.99 
Angry Birds Epic RPG,Angry Birds Epic RPG,4.5,4.5,0,0
Army of Heroes,Army of Heroes,4.5,4.5,0,0
Asphalt 8: Airborne,Asphalt 8: Airborne,4.5,4.5,0,0
Boom Beach,Boom Beach,4.5,4.5,0,0
Bullet Force,Bullet Force,4.5,4.5,0,0
Cooking Fever,Cooking Fever,4.5,4.5,0,0
